German,English
Diese,This
Moment,moment
bleiben,remain
brauchen,to need
Weil,because
Kinder,children
unter,under
Arbeit,work
Für,for
Problem,problem
dafür,Therefore
Herr,Mister
Haben,Have
wegen,because
geht's,Let's
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,your
ne,ne
gegen,against
Weißt,Whisper
Sag,say
schnell,fast
nun,well
eines,one
brauche,need
Abend,Eve
hatten,had
Jahre,years
Mach,Make up
Bruder,Brothers
Sache,matter
hören,Listen
komm,come
Sohn,son
seit,since
Morgen,tomorrow
drei,three
steht,stands
Scheiße,crap
mag,like
sei,may be
unser,our
konnte,could
habt,have
Oder,or
einmal,once
heißt,is called
OK,OK
Willst,Want
Kopf,head
Hilfe,help
Familie,family
Geh,Go
Baby,infant
Dich,You
Sind,Are
erst,first
fertig,done
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,tomorrow
sprechen,to speak
Mir,Me
sofort,immediately
Kann,Can
Hat,Has
Jahren,Years
Kind,child
seinen,his
Genau,I agree
daran,to it
Junge,Young
Minuten,Minute
bevor,before
Stadt,city
beim,at the
sterben,to die
warst,wicked
Recht,law
glauben,believe
Warte,Wait
darüber,about it
deiner,yours
deinem,your
Ende,end
He,Head
Dinge,things
Namen,Name
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,nothing
Wirklich,Really
bekommen,to get
Männer,Men
vergessen,forget
Doch,But
dazu,to
gab,gave
später,later
wusste,knew
Augen,eyes
Dank,thanks to
Freunde,friends
Jungs,guys
halten,keep
warten,wait
Glück,happiness
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Your
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,come
Dir,To you
mache,make
Von,from
Uhr,Clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,Kind
gern,gladly
Liebe,love
jeden,every
könnten,could
ihren,your
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,little
eigentlich,actually
weit,far
mach,make up
Gib,Give
vorbei,past
verstehe,understand
danke,thank you
drin,in it
Im,in the
Name,Surname
ganzen,entire
Musik,music
würden,would
Tür,door
verrückt,crazy
denken,think
Noch,Yet
dran,your turn
Sieh,Look
lieber,rather
Den,The
leben,Life
Guten,good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,last
Job,job
verloren,lost
wurden,became
kenne,know
Ahnung,idea
seiner,his
Grund,ground
toll,Great
Bis,To
Verdammt,Damned
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,very
Hand,hand
darf,may
Dieser,This
Frauen,women
Euch,You
Idee,idea
runter,down
Macht,Power
draußen,outside
lang,long
Land,country
lass,let
Typ,Type
hätten,have
egal,no matter
arbeiten,work
spät,late
stehen,stand
ok,OK
Gute,Quality
gekommen,came
Bei,at
etwa,about
essen,meal
kleine,small
jeder,everyone
Schwester,sister
Wasser,water
spielen,play
Geschichte,story
seinem,his
liegt,located
sah,saw
Mom,Mom
Seite,page
ruhig,quiet
Frage,ask
meinst,mean
überhaupt,at all
fahren,drive
Ganz,All
Gehen,Walk
Essen,meal
Ruhe,Quiet
echt,real
versucht,tries
Tochter,daughter
Kommt,Comes
Einen,A
ging,went
Jahr,year
braucht,needs
fast,nearly
neue,new
geh,go
ziemlich,pretty much
anders,different
siehst,see
Polizei,police
Stunden,hours
musste,had to
Spiel,game
gewesen,been
gerne,gladly
finde,find
erzählt,told
Tod,death
Ort,location
Chance,chance
bedeutet,means
War,Was
sag,say
sagst,tell
fragen,questions
letzten,last
sogar,even
ersten,first
Sachen,things
Wahrheit,truth
einzige,only
kurz,short
denen,to them
Kommen,Come
Spaß,fun
Nach,To
oben,above
Mama,mummy
schwer,heavy
Schule,school
je,ever
eben,even
Gesicht,face
bestimmt,definitely
treffen,meeting
niemand,nobody
Woche,week
Entschuldigung,Excuse me
Sorgen,To care
warte,wait
natürlich,Naturally
schlecht,bad
große,size
getötet,killed
verstehen,to understand
hoffe,hope
Ah,Ah
Sei,May be
Zimmer,room
hoch,high
unserer,our
Tage,Day
Teil,part
Wann,When
suchen,search
verlassen,leaving
zeigen,show
wollten,wanted to
lässt,leaves
Wort,word
eins,one
zwischen,between
Woher,Where from
Schatz,Darling
Wissen,knowledge
versuchen,to attempt
Können,Be able
Kannst,Can
nett,kind
Zu,to
kriegen,Obtain
Geht,Goes
Arsch,ass
kleinen,small
Hab,Have
weiss,White
erste,first
läuft,running
kommst,come
Freundin,friend
Mensch,human
beiden,both
Ding,thing
niemals,No way
endlich,at last
Nimm,take
muß,got to
gehst,go
Heute,today
denkst,think
Herz,heart
Waffe,weapon
Soll,Should
tust,tu
Dollar,dollar
nehme,take
Schau,show
holen,fetch
oft,often
drauf,on it
anderes,other
Niemand,No one
unten,below
Wagen,car
Yeah,Yeah
Schön,Nice
wichtig,important
Mrs,MRS
hättest,had
allen,all
Miss,Miss
ihrer,of their
gedacht,thought
Nummer,number
würdest,thought
erzählen,tell
bleibt,remains
Auch,Also
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,law
bringt,brings
Bett,bed
Lassen,Leave
Eltern,parents
gefällt,like
Schuld,blame
eure,your
Plan,plan
Krieg,war
neuen,new
Klar,Clear
retten,rescue
guter,goods
während,while
ihrem,Yours
wären,be
Fehler,error
scheint,seems
Lasst,Leaves
gegeben,given
An,On
hör,hear
glücklich,happy
verdammt,Damn it
alt,old
Platz,place
darum,therefore
Vielen,Many
falsch,not correct
unseren,Our
schlafen,sleep
Sagen,To say
nächsten,next
fünf,five
frei,free
Sorge,worries
Vor,In front
fest,fixed
bereits,already
alleine,alone
Denn,Then
Zwei,Two
Fragen,questions
möglich,possible
irgendwie,somehow
Papa,father
lernen,to learn
gestern,yesterday
hierher,here
Schiff,ship
vier,four
irgendwas,anything
Stimmt,Is correct
Menge,crowd
keiner,none
brauchst,need
Typen,Types
Dass,That
Stunde,lesson
Szene,scene
Hölle,hell
einige,some
Deshalb,Therefore
geworden,become
Telefon,phone
Darf,May
Feuer,Fire
Wollen,Want
Bin,Am
Alter,old
Captain,Captain
Aus,Out
Dieses,This
Probleme,Problems
Jeder,Everyone
verstanden,Roger that
wann,when
alten,old
gibt's,there's
sondern,but
guten,good
zwar,that is
eigenen,own
New,New
Körper,body
hört,hearing
Zum,To the
gebe,giving
Kumpel,Dude
Hund,dog
nochmal,once again
hab's,have it
früh,early
Hören,Listen
trinken,drink
besten,best
meines,mine
schaffen,create
alte,old
Luft,air
Jemand,Someone
dürfen,may
Meister,master
Erde,Earth
Seit,Since
Sicher,For sure
Hört,Hearing
Zukunft,future
kaum,barely
funktioniert,is working
voll,fully
Bleib,Stay
reicht,suffices
weh,sore
stellen,put
Siehst,See
kleiner,smaller
großen,huge
Waffen,weapons
Büro,office
Wahl,choice
verlieren,lose
Wochen,Weekly
Damit,In order to
Stück,piece
lieben,love
allem,all
getroffen,met
äh,Ah
Am,At the
geschafft,made
tue,do
gefallen,please
Tja,Well
Boss,boss
überall,all over
Sieht,Sees
passieren,happen
lustig,fun
Licht,light
gebracht,brought
nennen,to name
Folge,consequence
Gefühl,feeling
völlig,fully
denkt,thinks
Schlüssel,key
drüben,over there
Richtig,Right
wieso,how so
Leuten,People
Buch,a book
laufen,to run
spielt,play
früher,earlier
Sein,His
krank,ill
gegangen,went
fand,found
Seine,His
Pass,passport
fühle,feel
Himmel,heaven
froh,joyful
leicht,easy
direkt,direct
langsam,slow
wolltest,wanted
erinnern,remember
zuerst,first
Krankenhaus,hospital
Viel,A lot
beste,best
welche,Which
genommen,taken
Arzt,doctor
unserem,ours
Idiot,idiot
Machen,Do
glaubst,believe
jede,every
Ohne,Without
groß,large
hattest,had
Äh,Ah
Jungen,Boys
Rest,rest
Unsere,Our
versuche,tries
Tagen,Days
nächste,next
Entschuldigen,Excuse
Doktor,doctor
spricht,speaks
könnt,can
hält,hold
Team,team
Verstanden,Roger that
kämpfen,battle
heiraten,marry
könntest,could
Wow,Wow
Etwas,Something
Straße,Street
Mist,Damn
König,king
redest,talk
kleines,small
lebt,lives
erklären,to explain
worden,has been
Millionen,millions
Wiedersehen,Reunion
Onkel,uncle
kennst,know
sitzen,sit
dies,this
weniger,fewer
Kaffee,coffee
ernst,serious
wollt,want
tragen,carry
Zeug,things
trotzdem,despite this
Ihren,Your
kaufen,to buy
Liste,list
ändern,to change
Kampf,battle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,floor
Wohin,To where
machte,bother
Party,party
gefragt,asked
Seht,Look
irgendwo,somewhere
kümmern,To take care of
kennt,knows
verletzt,injured
Habt,Have
Nachricht,news
Willkommen,Welcome
vielen,many
hart,hard
lasse,laser
total,total
Gefängnis,prison
außer,except
Sicherheit,safety
Schnell,Fast
wem,whom
ehrlich,honest
interessiert,Interested
Sex,sex
sagten,told
ziehen,draw
Welche,which
Unser,Our
Augenblick,moment
angerufen,called
aufhören,stop
Klasse,class
Bild,image
stark,strong
Dies,this
Eure,Your
zehn,ten
Sinn,sense
vorstellen,introduce
Traum,dream
länger,longer
manchmal,sometimes
anrufen,call up
sechs,six
Arschloch,asshole
sollst,shorter
gestorben,died
Tages,Day
war's,It was
Kraft,power
gesprochen,spoken
heraus,out
genauso,just like that
wärst,be
Eins,one
damals,back then
heißen,mean
Liebling,Darling
wahrscheinlich,probably
deshalb,for this reason
Stelle,Job
halt,stop
erwartet,expected
solche,such
meisten,most
bringe,bring
still,quiet
umgebracht,killed
Stimme,voice
General,general
Geben,Give
Entschuldige,excuse me
Vergiss,Forget
rede,speech
führen,to lead
Bewegung,Move
höre,hear
Sonst,Otherwise
Geschäft,shop
werdet,become
konnten,could
wartet,wait
Raus,Out
